Secteur	Catégorie	Activité
Artisan / Commerçant / e-Commerçant	Artisanat textile et habillement	Artisan restaurateur de textiles
Artisan / Commerçant / e-Commerçant	Artisanat textile et habillement	Artisan sellier-maroquinier
Artisan / Commerçant / e-Commerçant	Artisanat textile et habillement	Artisan sérigraphe
Artisan / Commerçant / e-Commerçant	Artisanat textile et habillement	Artisan tailleur
Artisan / Commerçant / e-Commerçant	Artisanat textile et habillement	Artisan tanneur
Artisan / Commerçant / e-Commerçant	Artisanat textile et habillement	Artisan tisserand
Artisan / Commerçant / e-Commerçant	Artisanat textile et habillement	Artisan tresseur
Artisan / Commerçant / e-Commerçant	Artisanat textile et habillement	Artisan fresquiste
Artisan / Commerçant / e-Commerçant	Artisanat textile et habillement	Artisan tapissier d'ameublement et/ou tapissier décorateur
Artisan / Commerçant / e-Commerçant	Artisanat textile et habillement	Autre - Artisanat textile et habillement
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Artisan dentellier
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Artisan pareur
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Artisan parurier floral
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Artisan céramiste
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Artisan décorateur sur céramique
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Artisan doreur
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Artisan encadreur
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Artisan enlumineur
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Artisan fabricant de compositions végétales stables et durables
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Artisan laqueur
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Artisan mosaïste
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Artisan mouleur
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Artisan passementier
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Artisan peintre en décor
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Artisan peintre sur mobilier
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Artisan relieur
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Artisan restaurateur de céramique
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Artisan restaurateur de documents graphiques et imprimés
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Artisan restaurateur de peintures et/ou photographies
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Artisan santonnier
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Calligraphie
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Galerie d’art
Artisan / Commerçant / e-Commerçant	Art / Artisanat ameublement, décoration, restauration de bien	Autre - Art / Artisanat ameublement, décoration, restauration de bien
Artisan / Commerçant / e-Commerçant	Fabrication / Artisanat	Fabrication de machines à café
Artisan / Commerçant / e-Commerçant	Fabrication / Artisanat	Torréfacteur
Artisan / Commerçant / e-Commerçant	Fabrication / Artisanat	Créatrice de bijoux
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente de photographies / accessoires photographiques
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente de chaussure (petit commerce)
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente d’objets de décoration intérieure, luminaire et petit mobiliers (hors magasin de meuble et literie)
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente d’objets publicitaires sans fabrication (petit commerce)
Artisan / Commerçant / e-Commerçant	Commerce de détail	Supérettes (entre 120 et 400m2)
Artisan / Commerçant / e-Commerçant	Commerce de détail	Magasins multi-commerces
Artisan / Commerçant / e-Commerçant	Commerce de détail	Boulangerie, pâtisserie et confiserie
Artisan / Commerçant / e-Commerçant	Commerce de détail	Poissonerie, poissons, crustacés et mollusques en magasin spécialisé
Artisan / Commerçant / e-Commerçant	Commerce de détail	Boucherie, viandes et produits à base de viande en magasin spécialisé
Artisan / Commerçant / e-Commerçant	Commerce de détail	Fruits et légumes en magasin spécialisé
Artisan / Commerçant / e-Commerçant	Commerce de détail	Supermarchés (C.A alimentaire > 65% des ventes, surfface de vente comprise entre 400 et 2500m2)
Artisan / Commerçant / e-Commerçant	Commerce de détail	Matériels audio et vidéo en magasin spécialisé
Artisan / Commerçant / e-Commerçant	Commerce de détail	Matériels de télécommunication en magasin spécialisé
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente d'ordinateurs, unités périphériques, et logiciels en magasin
Artisan / Commerçant / e-Commerçant	Commerce de détail	Commerce de détail d'alimentation générale
Artisan / Commerçant / e-Commerçant	Commerce de détail	Commerce de détail de produits surgelés
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente de vêtements et accessoires (petit commerce)
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente de Bricolage / outillage sans fabrication
Artisan / Commerçant / e-Commerçant	Commerce de détail	Vente d'accessoires beauté et bien-être sans fabrication
